"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Let's protect endangered species! https://t.co/iPz6NoidTJ",FALSE,2,NA,2017-11-03 02:15:01,FALSE,NA,"926271466106171392",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","EARTH_Uni",0,FALSE,FALSE,NA,NA
"2","Asian countries working to protect more endangered species.
https://t.co/Z5rwOzxSDB
#envhm14",FALSE,0,NA,2017-11-02 22:38:49,FALSE,NA,"926217058420916225",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DunningEnviro",0,FALSE,FALSE,NA,NA
"3","BBC News - New great ape species.  Sadly critically endangered @thebodyshop will help protect it  https://t.co/HXOSkylirJ",FALSE,1,NA,2017-11-02 22:27:28,FALSE,NA,"926214202464899074",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katelevi",0,FALSE,FALSE,NA,NA
"4","Congress: Protect Our Wolves and Grizzlies. Don't Gut The Endangered Species Act!  #care2 https://t.co/bSfhl5SkMf",FALSE,3,NA,2017-11-02 22:05:32,FALSE,NA,"926208682693668865",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jacqueline_Th",9,FALSE,FALSE,NA,NA
"5","An inside look at one of @TurtleSurvival's centers &amp; Rick Hudson’s work to protect endangered species… https://t.co/tOYnGIOKIh",FALSE,1,NA,2017-11-02 21:15:02,TRUE,NA,"926195971637305344",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","IndyPrize",0,FALSE,FALSE,NA,NA
"6","A RARE type among a fast disappearing species - We MUST help save protect the Orangutans left &amp; protect their natur… https://t.co/iE71vbGUKy",FALSE,0,NA,2017-11-02 21:13:02,TRUE,NA,"926195469394395136",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","annetteharidan",0,FALSE,FALSE,NA,NA
"7","I don’t understand why more people don’t feel obligated to help endangered species and protect Mother Nature.",FALSE,4,NA,2017-11-02 20:06:46,FALSE,NA,"926178794943143936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brooklynclaxton",0,FALSE,FALSE,NA,NA
"8","#CAWaterFix &amp; #CAEcoRestore work to protect endangered species in the #Delta &amp; ensure H2O deliveries statewide
https://t.co/HEL5RRGulA",FALSE,2,NA,2017-11-02 20:05:40,FALSE,NA,"926178514457436160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SecureWaterCA",0,FALSE,FALSE,NA,NA
"9","More than 100 countries have signed up to protect a handful of endangered migratory species. https://t.co/Pm8nQIGECK via @newscientist",FALSE,26,NA,2017-11-02 19:34:30,FALSE,NA,"926170671759155201",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","novapbs",9,FALSE,FALSE,NA,NA
"10","@pritheworld <ed><U+00A0><U+00BD><ed><U+00B1><U+0080>@arborday <ed><U+00A0><U+00BD><ed><U+00B4><U+008E>How German 'wood detectives' protect endangered species | Public Radio International https://t.co/BtFYMQHko9",FALSE,0,"pritheworld",2017-11-02 18:57:36,FALSE,NA,"926161384748015618","13492102","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Leisering",0,FALSE,FALSE,NA,NA
"11","How German 'wood detectives' protect #endangered #tree #species &gt;&gt; https://t.co/tCXiR3Dw8m @PRI",FALSE,1,NA,2017-11-02 18:00:38,FALSE,NA,"926147048906330112",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","plantdisease",1,FALSE,FALSE,NA,NA
"12","@Gothamist Racists in Edison NJ are endangered species. We need to protect them and send them to Johnson park zoo f… https://t.co/eAxgtrC5PQ",FALSE,0,"Gothamist",2017-11-02 16:53:29,TRUE,"926112525950779392","926130150907006978","810424","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","toshiwanikun",0,FALSE,FALSE,NA,NA
"13","#Protect #Wolves and the #Endangered Species #Act
https://t.co/J6QrLfKmdI https://t.co/0Qb74nKea4",FALSE,0,NA,2017-11-02 15:48:29,FALSE,NA,"926113796011315200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Leentje_7",1,FALSE,FALSE,NA,NA
"14","How German #wood detectives protect #endangered #species https://t.co/LUZ5EHRlJb",FALSE,0,NA,2017-11-02 14:59:21,FALSE,NA,"926101427210080256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","prowildlife",1,FALSE,FALSE,NA,NA
"15","How German 'wood detectives' protect endangered species https://t.co/AQkeeIfsRj",FALSE,5,NA,2017-11-02 14:30:29,FALSE,NA,"926094166458884099",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","pritheworld",3,FALSE,FALSE,NA,NA
"16","It's our responsibility to protect the endangered species act to ensure future generations of all species will surv… https://t.co/mtf9dJKd8F",FALSE,3,NA,2017-11-02 12:31:54,TRUE,NA,"926064322861785088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ECDA_Antioch",2,FALSE,FALSE,NA,NA
"17","eBay is committed to helping protect the future on our planet of some of the world’s most endangered species. #ebay https://t.co/vOwxPWU4qg",FALSE,0,NA,2017-11-02 11:06:02,FALSE,NA,"926042712939352064",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","bramwerkt",0,FALSE,FALSE,NA,NA
"18","The humpback whale needs the ESA. Take action w/ @action4ifaw to protect endangered species everywhere! https://t.co/rCLFTBAnrR",FALSE,1,NA,2017-11-02 09:50:08,FALSE,NA,"926023610875240448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PeirceBrosnan",0,FALSE,FALSE,NA,NA
"19","@JamesADamore morals come with intelligence maybe - why don't we wipe out species (mostly we protect endangered species).",FALSE,0,"JamesADamore",2017-11-02 09:47:55,FALSE,"925770738061131776","926023055960395776","894748894789115907","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nickdonnelly",0,FALSE,FALSE,NA,NA
"20","Understand how #EarthObservation techniques can be used to protect endangered species @EO4wildlife #GEOweek17  https://t.co/oSHlrvVcv6&amp;",FALSE,2,NA,2017-11-02 08:32:11,FALSE,NA,"926003996371931136",NA,"<a href=""http://www.oktopost.com"" rel=""nofollow"">Oktopost</a>","GerhildReckerth",0,FALSE,FALSE,NA,NA
"21","Protect Endangered Species From Republican Attack https://t.co/kxoxkVEGcE",FALSE,0,NA,2017-11-02 03:17:40,FALSE,NA,"925924843891183616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MNTRYJOSEPH",0,FALSE,FALSE,NA,NA
"22","U.S. Fish and Wildlife: Protect the Endangered Species Act https://t.co/Ig22JwZYoF",FALSE,0,NA,2017-11-02 03:17:36,FALSE,NA,"925924829903060997",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MNTRYJOSEPH",0,FALSE,FALSE,NA,NA
"23","In Boise National Forest, Environmental Groups Sue to Protect Endangered Species https://t.co/103ERFX89i https://t.co/sCszxVMiqx",FALSE,0,NA,2017-11-02 02:38:01,FALSE,NA,"925914866912845824",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","NWFogCutter",0,FALSE,FALSE,NA,NA
"24","@collinrenfro Zoos are good for animal conservation tho? Some yes, can treat their animals terrible but most help protect endangered species",FALSE,9,"collinrenfro",2017-11-02 02:36:15,FALSE,"925707995719372800","925914422584926208","2458970060","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","malogranatumm",0,FALSE,FALSE,NA,NA
"25",".@SenBookerOffice We need REAL legislation to protect endangered species. #BantrophyHunting #RIPXanda  https://t.co/TFgXkhg0ld",FALSE,0,NA,2017-11-02 00:46:12,FALSE,NA,"925886727587278848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShabbottMary",0,FALSE,FALSE,NA,NA
"26",".@SenGillibrand Can we please have some legislation to protect endangered species? #BantrophyHunting #RIPXanda  https://t.co/TFgXkhg0ld",FALSE,0,NA,2017-11-02 00:44:58,FALSE,NA,"925886415694712833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShabbottMary",0,FALSE,FALSE,NA,NA
